datetime,year,month,day,hour,day of week,total,place,angbutter,plain bread,jam,croissant,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,gateau chocolat,pandoro,cheese cake,orange pound,wiener,tiramisu,merinque cookies,americano,caffe latte,milk tea,lemon ade,vanila latte,berry ade,food items,drinks
2019-07-22 13:44,2019,07,22,13,Mon,14800,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
2019-07-22 14:47,2019,07,22,14,Mon,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22 15:37,2019,07,22,15,Mon,19600,,1,,,,1,,,,,,1,,,,,,,,1,,,,,,
2019-07-22 16:54,2019,07,22,16,Mon,18600,,1,,,1,,,,,,,1,,,,,,,,,,,,1,,
2019-07-24 11:29,2019,07,24,11,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 11:56,2019,07,24,11,Wed,27100,,2,2,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-24 13:24,2019,07,24,13,Wed,18800,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,
2019-07-24 14:25,2019,07,24,14,Wed,25400,,3,,,,,,,,,,,,,,,,,,,2,,,,,
2019-07-24 14:28,2019,07,24,14,Wed,26300,,1,2,,,1,,,,,,,,,,,,,1,,,,1,,,
2019-07-24 15:36,2019,07,24,15,Wed,16100,,2,,,,,,,1,,,,,,,,,,,,,,,,,
2019-07-24 15:40,2019,07,24,15,Wed,16100,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-24 16:02,2019,07,24,16,Wed,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24 17:20,2019,07,24,17,Wed,15000,,,,,,,,1,1,,,,,,,2,,,,,,,,,,
2019-07-25 11:49,2019,07,25,11,Thur,18600,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,
2019-07-25 11:57,2019,07,25,11,Thur,26800,,1,1,,1,,,,,,,,,,,,,,1,1,,,1,,,
2019-07-25 12:01,2019,07,25,12,Thur,35000,,,,,,,,,4,,,,,,,6,,,,,,,,,,
2019-07-25 12:35,2019,07,25,12,Thur,38000,,5,,,1,,,1,,,,,,,,2,,,,,,,,,,
2019-07-25 13:01,2019,07,25,13,Thur,23100,,2,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-07-25 13:05,2019,07,25,13,Thur,17300,,,,,,,,2,,,,1,,,,,,,,,,,,1,,
2019-07-25 13:40,2019,07,25,13,Thur,19600,,2,,,1,,,,,,,,1,,,,,,,,,,,,,
2019-07-25 13:42,2019,07,25,13,Thur,15300,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
2019-07-25 14:12,2019,07,25,14,Thur,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-25 15:09,2019,07,25,15,Thur,14300,,1,,,1,,,,,,,,,,,,,,1,,,,,,,
2019-07-25 15:57,2019,07,25,15,Thur,15100,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
2019-07-25 16:03,2019,07,25,16,Thur,20000,,,,,,,,,1,,,,1,,1,,,,,,,,1,,,
2019-07-26 11:26,2019,07,26,11,Fri,25300,,1,1,,3,,,,,,,,,,1,,,,,,,,,,,
2019-07-26 11:23,2019,07,26,11,Fri,73200,,4,3,,6,1,,2,,,,,1,,1,,,,,,,,,,,
2019-07-26 11:31,2019,07,26,11,Fri,22800,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,
2019-07-26 11:36,2019,07,26,11,Fri,1293000,,6,5,,5,,,5,5,,,,5,,,,,,,,,,,,,
2019-07-26 11:37,2019,07,26,11,Fri,15000,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-07-26 11:55,2019,07,26,11,Fri,20800,,1,,,,1,,,1,,,,,,,2,,,,,,,,,,
2019-07-26 13:19,2019,07,26,13,Fri,25900,,3,,,,1,,,,,,,,,,2,,,,,,,,,,
2019-07-26 13:24,2019,07,26,13,Fri,28100,,2,,,,,,1,,,,,,,1,,,,1,,,1,,,,
2019-07-26 14:05,2019,07,26,14,Fri,15800,,1,,,,,,,,,,,,,,,,,,,1,,,1,,
2019-07-26 14:24,2019,07,26,14,Fri,35000,,5,,,,,,,,,,,,,2,,,,,,,,,,,
2019-07-26 14:52,2019,07,26,14,Fri,22100,,1,,,,,,,1,,,1,,,,1,,,,,,1,,,,
2019-07-26 14:56,2019,07,26,14,Fri,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 11:29,2019,07,27,11,Sat,18800,,1,1,,,1,,,,,,,,,,,,,1,,,,,,,
2019-07-27 11:57,2019,07,27,11,Sat,21800,,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,
2019-07-27 12:00,2019,07,27,12,Sat,18600,,1,,,1,,,,,,,1,,,,,,,,,,,1,,,
2019-07-27 12:07,2019,07,27,12,Sat,33200,,2,2,,,,,2,,,,2,,,,,,,,,,,,,,
2019-07-27 12:20,2019,07,27,12,Sat,22800,,1,,,1,,,1,,,,,,,,,1,,,,,1,,,,
2019-07-27 12:26,2019,07,27,12,Sat,17000,,1,,,3,,,,,,,,,,,,,,,,,,,,,
2019-07-27 12:43,2019,07,27,12,Sat,16400,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 13:50,2019,07,27,13,Sat,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-27 14:05,2019,07,27,14,Sat,32600,,1,1,1,,,,,,,,1,,,1,1,,,,,,1,1,,,
2019-07-28 11:17,2019,07,28,11,Sun,17300,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,
2019-07-28 12:10,2019,07,28,12,Sun,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-07-28 12:21,2019,07,28,12,Sun,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-07-28 12:47,2019,07,28,12,Sun,14300,,1,,,,,,1,,,,,,,,,,,1,,,,,,,
2019-07-28 12:48,2019,07,28,12,Sun,14800,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
2019-07-28 13:13,2019,07,28,13,Sun,25600,,2,1,,2,,,,,,,,,,,1,,,,,,,,,,
2019-07-28 13:14,2019,07,28,13,Sun,19500,,,1,1,,,,1,,,,,1,,,,,,,,,,,1,,
2019-07-29 11:08,2019,07,29,11,Mon,24800,,1,,,3,,,,,,,,,,,3,,,,,,,,,,
2019-07-29 11:12,2019,07,29,11,Mon,24100,,2,,,1,1,,,,,,,,,1,,,,,,,,,,,
2019-07-28 11:14,2019,07,28,11,Mon,15800,,1,,,,1,,,,,,,1,,,,,,,,,,,,,
2019-07-29 11:39,2019,07,29,11,Mon,14800,,1,,,,,,1,,,,,1,,,,,,,,,,,,,
2019-07-29 12:02,2019,07,29,12,Mon,14800,,1,,,,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:15,2019,07,29,12,Mon,18300,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:22,2019,07,29,12,Mon,27900,,3,1,,,,,1,,,,,,,1,,,,,,,,,,,
2019-07-29 12:54,2019,07,29,12,Mon,15800,,1,,,,,,,1,,,,,,1,,,,,,,,,,,
2019-07-29 13:25,2019,07,29,13,Mon,18100,,1,,,1,,,,,,,1,,,,,,,1,,,,,,,
2019-07-29 13:36,2019,07,29,13,Mon,28000,,,,,1,,,,1,,,,1,,,,,,,,1,,1,,,
2019-07-29 13:53,2019,07,29,13,Mon,28000,,,,,,1,,,1,,,,1,,,,,,2,,,,1,,,
2019-07-31 11:09,2019,07,31,11,Wed,15600,,2,,,,,,,,,,,,,,,,,1,,,,,,,
2019-07-31 11:25,2019,07,31,11,Wed,30100,,2,1,,2,,,1,,,,,1,,,,,,,,,,,,,
2019-07-31 11:38,2019,07,31,11,Wed,23300,,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,
2019-07-31 11:44,2019,07,31,11,Wed,30200,,2,,,,,,2,,,,2,,,,,,,1,,,,,,,
2019-07-31 12:48,2019,07,31,12,Wed,15100,,2,1,,,,,,,,,,,,,,,,,,,,,,,
2019-07-31 13:18,2019,07,31,13,Wed,27300,,1,1,,,,,,,,,,1,,,,,,2,,,,1,,,
2019-07-31 13:19,2019,07,31,13,Wed,15300,,1,,,,1,,,,,,,,,,,,,1,,,,,,,
2019-07-31 13:29,2019,07,31,13,Wed,16100,,1,,,,,,,,,,1,1,,,,,,,,,,,,,
2019-07-31 13:54,2019,07,31,13,Wed,15100,,1,,,,,,,,,,1,,,,,,,,,1,,,,,
2019-07-31 13:58,2019,07,31,13,Wed,15800,,1,,,,1,,,,,,,1,,,,,,,,,,,,,
2019-08-01 11:03,2019,08,01,11,Thur,14500,,,,,,1,,1,,,,,1,,,,,,,,,,,,,
2019-08-01 11:17,2019,08,01,11,Thur,13100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-01 11:25,2019,08,01,11,Thur,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-08-01 11:50,2019,08,01,11,Thur,14800,,1,,,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-01 12:02,2019,08,01,12,Thur,21100,,2,1,,1,,,,,,,,1,,,,,,,,,,,,,
2019-08-01 12:15,2019,08,01,12,Thur,20600,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-08-01 12:24,2019,08,01,12,Thur,32600,,1,2,,2,1,,1,,,,1,,,,,,,,,,,,,,
2019-08-01 12:38,2019,08,01,12,Thur,14500,,,1,,,,,,,,,,1,,,,,,,,1,,,,,
2019-08-01 13:37,2019,08,01,13,Thur,15100,,2,,,1,,,,,,,,,,,,,,,,,,,,,
2019-08-01 13:39,2019,08,01,13,Thur,15000,,,1,1,,,,1,,,,,,,,,,,,,1,,,,,
2019-08-01 14:17,2019,08,01,14,Thur,14800,,1,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-08-01 14:56,2019,08,01,14,Thur,23000,,,,,4,,,2,,,,,,,,,,,,,,,,,,
2019-08-02 11:03,2019,08,02,11,Fri,19900,,3,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-02 11:04,2019,08,02,11,Fri,14100,,1,1,,,,,,,,,1,,,,,,,,,,,,,,
2019-08-02 11:06,2019,08,02,11,Fri,18000,,3,,,,1,,,,,,,1,,1,1,,,,,,,,,,
2019-08-02 11:19,2019,08,02,11,Fri,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 11:31,2019,08,02,11,Fri,17300,,1,1,,,,,,,,,,,,,1,,,,,,,,1,,
2019-08-02 11:57,2019,08,02,11,Fri,30800,,6,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-02 12:21,2019,08,02,12,Fri,15800,,1,,,,1,,,,,,,,,,,,,,1,,,,,,
2019-08-02 12:31,2019,08,02,12,Fri,19900,,2,,,,,,,,,,1,,,1,,,,,,,,,,,
2019-08-02 12:51,2019,08,02,12,Fri,15800,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-08-03 11:02,2019,08,03,11,Sat,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 11:03,2019,08,03,11,Sat,26100,,2,1,,,,,1,,,,,,,,3,,,,,,,,,,
2019-08-03 11:03,2019,08,03,11,Sat,16000,,,,,2,,,2,,,,,,,,,,,,,,,,,,
2019-08-03 11:05,2019,08,03,11,Sat,29100,,1,,,1,,,1,1,,,1,,,1,1,,,,,,,,,,
2019-08-03 11:06,2019,08,03,11,Sat,16800,,1,1,1,,,,,,,,,,,,2,,,,,,,,,,
2019-08-03 11:08,2019,08,03,11,Sat,22800,,,1,,1,,,,,,,1,,,,4,,,,,,,,,,
2019-08-03 11:20,2019,08,03,11,Sat,16600,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,
2019-08-03 11:53,2019,08,03,11,Sat,18800,,1,1,,1,,,,,,,,,,,2,,,,,,,,,,
2019-08-03 12:06,2019,08,03,12,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 12:44,2019,08,03,12,Sat,19300,,1,1,,,,,,,,,,,,1,,,,,,1,,,,,
2019-08-03 13:06,2019,08,03,13,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 13:18,2019,08,03,13,Sat,18300,,1,,,1,,,,,,,,,,,,,,2,,,,,,,
2019-08-03 13:20,2019,08,03,13,Sat,16300,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-03 13:42,2019,08,03,13,Sat,15800,,1,,,,,,,2,,,,,,,,,,,,,,,,,
2019-08-03 15:07,2019,08,03,15,Sat,17900,,3,,1,,,,,,,,,,,,,,,,,,,,,,
2019-08-03 15:53,2019,08,03,15,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:02,2019,08,04,11,Sun,34800,,1,1,,2,,,2,,,,,,,,1,,,2,,,,,,,
2019-08-04 11:04,2019,08,04,11,Sun,31600,,2,1,,1,,,1,,,,,,,1,2,,,,,,,,,,
2019-08-04 11:07,2019,08,04,11,Sun,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-04 11:07,2019,08,04,11,Sun,19300,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,
2019-08-04 11:41,2019,08,04,11,Sun,24300,,1,1,1,,1,,1,,,,,,,,1,,,,,,,,,,
2019-08-04 11:52,2019,08,04,11,Sun,22100,,2,,,1,,,,,,,,,,1,1,,,,,,,,,,
2019-08-04 12:27,2019,08,04,12,Sun,14800,,1,1,,,,,,,,,,,,1,,,,,,,,,,,
2019-08-04 12:30,2019,08,04,12,Sun,19500,,,1,,2,,,1,,,,,,,,,,,,,,,,,,
2019-08-04 12:35,2019,08,04,12,Sun,20600,,2,,,,,,,,,,,1,,1,,,,,,,,,,,
2019-08-04 12:39,2019,08,04,12,Sun,17800,,,1,1,,,,,1,,,1,,,,1,,,,,,,,,,
2019-08-05 11:11,2019,08,05,11,Mon,16300,,1,,,,1,,,,,,,,,,2,,,,,,,,,,
2019-08-05 11:16,2019,08,05,11,Mon,23100,,2,,,,,,,,,,,,,1,1,,,,,1,,,,,
2019-08-05 11:18,2019,08,05,11,Mon,31400,,2,,,,1,,1,,,,1,1,,,1,,,,,,,,,,
2019-08-05 11:32,2019,08,05,11,Mon,17000,,,,,,,,1,2,,,,,,,1,,,,,,,,,,
2019-08-05 11:59,2019,08,05,11,Mon,22300,,1,1,1,,,,1,,,,,1,,,1,,,,,,,,,,
2019-08-05 12:14,2019,08,05,12,Mon,26600,,2,1,,1,1,,1,,,,,,,,,,,,,,,,,,
2019-08-05 12:14,2019,08,05,12,Mon,14800,,1,1,,,,,,,,,,1,,,,,,,,,,,,,
2019-08-05 12:42,2019,08,05,12,Mon,19600,,2,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-08-05 12:49,2019,08,05,12,Mon,49300,,1,1,1,1,,,1,,,,,,,,,,,,1,,1,3,1,,
2019-08-05 13:54,2019,08,05,13,Mon,19800,,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,
2019-08-05 14:25,2019,08,05,14,Mon,20800,,1,1,,,,,,,,,,,,,1,,,,1,,,,,,
2019-08-05 14:53,2019,08,05,14,Mon,16300,,1,,,2,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 11:03,2019,08,07,11,Wed,16300,,1,,,2,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 11:10,2019,08,07,11,Wed,21200,,4,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-07 12:17,2019,08,07,12,Wed,15300,,,,,1,,,1,,,,1,,,,1,,,,,,,,,,
2019-08-07 12:20,2019,08,07,12,Wed,27300,,1,,,1,1,,1,,,,,,,,,,,,1,,,1,,,
2019-08-07 12:28,2019,08,07,12,Wed,16100,,2,,,,,,,,,,,,,1,,,,,,,,,,,
2019-08-07 13:28,2019,08,07,13,Wed,17600,,1,,,2,,,,,,,1,,,,,,,,,,,,,,
2019-08-07 13:33,2019,08,07,13,Wed,19500,,,3,,,,,2,,,,,,,,,,,,,,,,,,
2019-08-07 13:59,2019,08,07,13,Wed,14800,,1,,,,,,,,,,,,,,,,,2,,,,,,,
2019-08-07 14:05,2019,08,07,14,Wed,15000,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,
2019-08-07 14:06,2019,08,07,14,Wed,14100,,2,,,,,,,,,,,,,,1,,,,,,,,,,
2019-08-07 14:50,2019,08,07,14,Wed,23800,,1,1,,,1,,,,,,,,,,,,,,1,1,,,,,
2019-08-08 11:07,2019,08,08,11,Thur,16100,,2,1,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:09,2019,08,08,11,Thur,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-08 11:22,2019,08,08,11,Thur,20300,,1,,,,,,,,,,,1,,2,,,,,,,,,,,
2019-08-08 12:03,2019,08,08,12,Thur,16500,,,1,1,,1,,,,,,,,,,1,,,,,,,,,,
2019-08-08 12:13,2019,08,08,12,Thur,15100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-08-08 12:39,2019,08,08,12,Thur,15300,,1,1,,,,,,,,,,,,,2,,,,,,,,,,
2019-08-08 12:56,2019,08,08,12,Thur,16000,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,
2019-08-08 13:22,2019,08,08,13,Thur,15800,,1,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-08-08 13:26,2019,08,08,13,Thur,17300,,1,,,1,,,2,,,,,,,,,,,,,,,,,,
2019-08-08 13:36,2019,08,08,13,Thur,33200,,2,,,,2,,,,,,2,,,,2,,,,,,,,,,
2019-08-08 13:55,2019,08,08,13,Thur,22300,,,,,1,,,,,,,1,1,,,,,,1,1,,,,,,
2019-08-08 13:57,2019,08,08,13,Thur,32400,,3,,,2,,,,,,,,,,2,,,,,,,,,,,
2019-08-08 14:11,2019,08,08,14,Thur,16100,,2,,,,,,,,,,,1,,,,,,,,,,,,,
2019-08-08 14:52,2019,08,08,14,Thur,17000,,,1,2,,,,,,,,,,,1,,,,1,,,,,,,
2019-08-08 14:58,2019,08,08,14,Thur,20500,,,1,2,,,,,,,,,,,,3,,,,,,,1,,,
2019-08-09 11:34,2019,08,09,11,Fri,17000,,,,,2,,,1,,,,,,,1,,,,,,,,,,,
2019-08-09 12:31,2019,08,09,12,Fri,18600,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,
2019-08-09 15:22,2019,08,09,15,Fri,26000,,5,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-09 15:22,2019,08,09,15,Fri,35800,,6,,,2,,,,,,,,,,,,,,,,,,,,,
2019-08-09 15:30,2019,08,09,15,Fri,15100,,1,,,,,,,,,,1,,,,,,,,,,,1,,,
2019-08-10 11:01,2019,08,10,11,Sat,19600,,2,,,,1,,1,,,,,,,,,,,,,,,,,,
2019-08-10 11:02,2019,08,10,11,Sat,15300,,1,,,,,,,,,,,1,,,,,,1,,,,,,,
2019-08-10 11:03,2019,08,10,11,Sat,19100,,1,,,,,,1,,,,1,1,,,1,,,,,,,,,,
2019-08-10 11:05,2019,08,10,11,Sat,28600,,2,1,,,1,,,,,,,1,,1,,,,,,,,,,,
2019-08-10 11:09,2019,08,10,11,Sat,17300,,1,,,1,,,2,,,,,,,,,,,,,,,,,,
2019-08-10 11:27,2019,08,10,11,Sat,36800,,1,1,,1,,,1,1,,,,1,,,2,,,,,,,1,,,
2019-08-10 11:38,2019,08,10,11,Sat,25300,,1,1,,1,1,,,,,,,,,,1,,,,,,,,,,
2019-08-10 12:17,2019,08,10,12,Sat,46200,,4,,,,,,2,1,,,,2,,1,,,,,,,,,,,
2019-08-10 13:09,2019,08,10,13,Sat,30200,,4,,,,2,,,,,,,,,,,,,,,,,,,,
2019-08-10 13:15,2019,08,10,13,Sat,16600,,1,,,1,,,,,,,1,,,,1,,,,,,,,,,
2019-08-10 13:22,2019,08,10,13,Sat,21200,,4,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-10 13:31,2019,08,10,13,Sat,24400,,3,,,1,1,,,,,,,,,,,,,,,,,,,,
2019-08-11 11:01,2019,08,11,11,Sun,21800,,1,1,,1,,,1,,,,,1,,,,,,,,,,,,,
2019-08-11 11:02,2019,08,11,11,Sun,16800,,1,,,,,,1,,,,,,,,1,,,1,,,,,,,
2019-08-11 11:03,2019,08,11,11,Sun,16000,,,,,1,,,1,,,,,,,1,1,,,,,,,,,,
2019-08-11 11:08,2019,08,11,11,Sun,22800,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,
2019-08-11 11:08,2019,08,11,11,Sun,17800,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,
