datetime,year,month,day,hour,day of week,total,place,angbutter,plain bread,jam,croissant,tiramisu croissant,cacao deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,gateau chocolat,pandoro,cheese cake,orange pound,wiener,tiramisu,merinque cookies,americano,caffe latte,milk tea,lemon ade,vanila latte,berry ade,food items,drinks
2019-07-11 15:35,2019,07,11,15,Thur,23800,,1,,,,3,,,,,,,,,,,,,1,,,,1,,,
2019-07-11 16:10,2019,07,11,16,Thur,15800,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-12 11:49,2019,07,12,11,Fri,58000,,,,,,14,,,,,,,,,,,,,,,,,,,,
2019-07-13 13:19,2019,07,13,13,Sat,14800,,1,1,,,,,,,,,,,,,,,,,,,,1,,,
2019-07-13 13:22,2019,07,13,13,Sat,15600,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-13 14:54,2019,07,13,14,Sat,15800,,1,,,,,,,,,,,,,,,,,,,1,,1,,,
2019-07-13 15:08,2019,07,13,15,Sat,15800,,1,,,,,,,,,,,,,1,,,,,,,,1,,,
2019-07-13 15:09,2019,07,13,15,Sat,14000,,,,,,2,1,,,,,,,,,,,,,,,,,,,
2019-07-13 15:23,2019,07,13,15,Sat,19100,,2,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-13 16:32,2019,07,13,16,Sat,22300,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,
2019-07-14 11:08,2019,07,14,11,Sun,15300,,1,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-07-14 11:15,2019,07,14,11,Sun,27600,,2,,,,1,,,,,,,,,,,,,3,,,,,,,
2019-07-14 11:44,2019,07,14,11,Sun,26300,,1,,,,2,2,,,,,,,,,,,,,,,,1,,,
2019-07-14 11:59,2019,07,14,11,Sun,19800,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,
2019-07-14 12:59,2019,07,14,12,Sun,18300,,1,,,,,1,,,,,,,,1,,,,,,,,,,,
2019-07-14 13:05,2019,07,14,13,Sun,15600,,2,,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-14 14:06,2019,07,14,14,Sun,23600,,2,,,,1,1,,,,,,,,1,,,,,,,,,,,
2019-07-14 14:41,2019,07,14,14,Sun,20100,,2,,,,1,,,,,,,,,,,,,,,,,1,,,
2019-07-14 14:51,2019,07,14,14,Sun,25600,,2,,1,,,,,,,,,,,1,,,,,1,,,,,,
2019-07-14 15:02,2019,07,14,15,Sun,19800,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,
2019-07-15 11:45,2019,07,15,11,Mon,15100,,2,,,,,1,,,,,,,,,,,,,,,,,,,
2019-07-15 16:21,2019,07,15,16,Mon,15800,,1,,,,1,,,,,,,,,,,,,,,,1,,,,
2019-07-17 11:47,2019,07,17,11,Wed,17800,,1,1,,,1,,,,,,,,,,,,,,,,,,,,
2019-07-17 13:23,2019,07,17,13,Wed,14800,,3,,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-17 14:16,2019,07,17,14,Wed,23400,,1,,2,,,,,,,,1,,,1,,,,,,,,,,,
2019-07-17 16:32,2019,07,17,16,Wed,18100,,1,1,,,,,,,,,,,,,,,,,,,,,1,,
2019-07-19 11:43,2019,07,19,11,Fri,14800,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,
2019-07-19 12:11,2019,07,19,12,Fri,15800,,1,,,,,,,,,,,,,1,,,,,,,,,1,,
2019-07-19 12:36,2019,07,19,12,Fri,21800,,1,,,1,2,,1,,,,,,,,,,,,,,,,,,
2019-07-19 12:44,2019,07,19,12,Fri,20600,,2,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-19 13:35,2019,07,19,13,Fri,14800,,1,,,1,1,,,,,,,,,,,,,,,,,,,,
2019-07-19 13:50,2019,07,19,13,Fri,15100,,2,,,,,,1,,,,,,,,,,,,,,,,,,
2019-07-19 14:12,2019,07,19,14,Fri,58000,,,,,16,,,,,,,,,,,,,,,,,,,,,
2019-07-19 15:33,2019,07,19,15,Fri,35900,,3,,,3,2,,,,,,,,,,,,,,,,,,,,
2019-07-20 11:19,2019,07,20,11,Sat,15800,,1,,,,,,,,,,,,,1,,,,,,1,,,,,
2019-07-20 11:35,2019,07,20,11,Sat,18800,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,
2019-07-20 11:40,2019,07,20,11,Sat,22800,,1,,1,,1,,1,,,,1,,,,,1,,,,,,,,,
2019-07-20 11:44,2019,07,20,11,Sat,16400,,3,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-20 12:08,2019,07,20,12,Sat,15800,,1,,,,,,,,,,,1,,,,1,,,,,,,,,
2019-07-20 12:13,2019,07,20,12,Sat,26300,,1,,,,,,1,,,,,,,1,1,1,,,1,,,,,,
2019-07-20 12:31,2019,07,20,12,Sat,14800,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
2019-07-20 12:55,2019,07,20,12,Sat,15800,,1,,,,1,,,,,,,,,1,,,,,,,,,,,
2019-07-20 13:19,2019,07,20,13,Sat,20500,,,,,2,1,,2,,,,,,,,,,,,,,,,,,
2019-07-20 13:44,2019,07,20,13,Sat,18600,,2,,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-20 13:56,2019,07,20,13,Sat,17800,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,
2019-07-21 11:07,2019,07,21,11,Sun,18600,,1,,,1,,,,,,,1,,,,,1,,,,,,,,,
2019-07-21 11:42,2019,07,21,11,Sun,17300,,1,1,,1,,,1,,,,,,,,,,,,,,,,,,
2019-07-21 12:12,2019,07,21,12,Sun,17800,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,
2019-07-21 12:25,2019,07,21,12,Sun,14800,,1,,,,,,1,,,,,,,,,,,,1,,,,,,
2019-07-21 12:29,2019,07,21,12,Sun,16100,,2,,,,,,,,,,,,,1,,,,,,,,,,,
2019-07-21 12:47,2019,07,21,12,Sun,21000,,,1,,1,1,,1,,,,,,,1,,,,,,,,,,,
2019-07-21 13:37,2019,07,21,13,Sun,19300,,1,,,1,,,,,,,,,,,,,,,,2,,,,,
2019-07-21 13:45,2019,07,21,13,Sun,22300,,1,,,1,1,,,,,,,,,,,,,2,,,,,,,
2019-07-21 14:05,2019,07,21,14,Sun,18300,,1,1,,1,,,,,,,,,,,,,,,,,,1,,,
2019-07-21 14:53,2019,07,21,14,Sun,15300,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
2019-07-21 15:21,2019,07,21,15,Sun,15100,,1,,,,,,,1,,,1,,,,,,,,,,,,,,
2019-07-22 11:38,2019,07,22,11,Mon,15600,,2,,,,,,,,,,,,,,,,,1,,,,,,,
2019-07-22 12:16,2019,07,22,12,Mon,19300,,1,,,1,,,,,,,,,,1,,,,,,1,,,,,
2019-07-22 12:24,2019,07,22,12,Mon,18300,,1,,,1,,,1,,,,,,,1,,,,,,,,,,,
2019-07-22 12:41,2019,07,22,12,Mon,18300,,1,,,2,1,,,,,,,,,,,,,,,,,,,,
2019-07-22 13:28,2019,07,22,13,Mon,16600,,2,,,,,,2,,,,,,,,,,,,,,,,,,
