Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Labyrinth of Refrain: Coven of Dusk,PS4,Action,NIS America,0.01,,0.01,0,0.03,18/9/2018
Utawarerumono Zan,PS4,Action,Aquaplus,,,0.03,,0.03,27/9/2018
The Lost Child,PS4,Action,NIS America,0.01,,0.01,0,0.03,19/6/2018
The Longest 5 Minutes,NS,Action,NIS America,0.03,,,0,0.03,13/2/2018
Yonder: The Cloud Catcher Chronicles,NS,Action,Merge Games,0.02,0,,0,0.03,12/6/2018
Doraemon: Nobita no Takarajima,3DS,Action,FuRyu Corporation,,,0.03,,0.03,1/3/2018
Past Cure,PS4,Action,Phantom 8 Studio,0.02,,,0,0.03,23/2/2018
The Longest 5 Minutes,PSV,Action,NIS America,,,0.02,,0.02,13/2/2018
Bullet Girls: Phantasia,PS4,Action,Experience Inc.,,,0.02,,0.02,9/8/2018
"Warhammer 40,000: Deathwatch",PS4,Action,Hoplite Research,0.02,,,0,0.02,14/8/2018
Super Run For Money Tousouchuu & Sentouchuu,NS,Action,Bandai Namco Games,,,0.02,,0.02,29/11/2018
"Warhammer 40,000: Inquisitor - Martyr",PS4,Action,Neocore Games,0.02,,,0,0.02,28/8/2018
Titan Quest,XOne,Action,THQ Nordic,0.02,,,0,0.02,20/3/2018
Titan Quest,PS4,Action,THQ Nordic,0.02,,,0,0.02,20/3/2018
Psychedelica of the Black Butterfly,PSV,Action,Aksys Games,,,0.02,,0.02,27/3/2018
Cyber Troopers: Virtual On x Toaru Majutsu no Index: Toaru Majutsu no Dennou Senki,PSV,Action,Sega,,,0.02,,0.02,15/2/2018
Shaq-Fu: A Legend Reborn,PS4,Action,Wired Productions,0.02,,,0,0.02,5/6/2018
Shaq-Fu: A Legend Reborn,NS,Action,Wired Productions,0.02,,,0,0.02,5/6/2018
Past Cure,XOne,Action,Phantom 8 Studio,0.02,,,0,0.02,23/2/2018
Shaq-Fu: A Legend Reborn,XOne,Action,Wired Productions,0.02,,,0,0.02,5/6/2018
"Warhammer 40,000: Inquisitor - Martyr",XOne,Action,Neocore Games,0.02,,,0,0.02,28/8/2018
Yoku's Island Express,XOne,Action,Villa Gorilla,0.01,,,0,0.02,19/6/2018
Bullet Girls: Phantasia,PSV,Action,D3 Publisher,,,0.01,,0.01,9/8/2018
Yoku's Island Express,PS4,Action,Villa Gorilla,0.01,,,0,0.01,19/6/2018
Titan Quest,NS,Action,THQ Nordic,0.01,,,0,0.01,31/7/2018
Nari Kids Park: Hugtto! PreCure,NS,Action,Bandai Namco Games,,,0.01,,0.01,21/11/2018
CharadeManiacs,PSV,Action,Idea Factory,,,0.01,,0.01,9/8/2018
Yoku's Island Express,NS,Action,Villa Gorilla,0.01,,,0,0.01,19/6/2018
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,Action,M2,,,0.01,,0.01,29/11/2018
