Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Monster Hunter: World,XOne,Action,Capcom,0.67,0.17,,0.09,0.93,26/1/2018
Monster Hunter: World,All,Role-Playing,Capcom,,,,,,26/1/2018
Onimusha Warlords,XOne,Action,Capcom,,,,,,15/1/2018
Onimusha Warlords,PS4,Action,Capcom,,,,,,15/1/2018
Street Fighter 30th Anniversary Collection,All,Fighting,Capcom,,,,,,29/5/2018
Street Fighter 30th Anniversary Collection,PS4,Fighting,Capcom,0.11,0.07,0.02,0.04,0.24,29/5/2018
Street Fighter 30th Anniversary Collection,NS,Fighting,Capcom,0.12,0.04,0.01,0.02,0.19,29/5/2018
Street Fighter V: Arcade Edition,PS4,Fighting,Capcom,,,,,,16/1/2018
Mega Man X Legacy Collection 1+2,PS4,Platform,Capcom Entertainment,0.07,,0.05,0.02,0.14,24/7/2018
Below,XOne,Action-Adventure,Capybara Games,,,,,,14/12/2018
Below,PC,Action-Adventure,Capybara Games,,,,,,14/12/2018
Superbrothers: Sword & Sworcery EP,NS,Adventure,Capybara Games,,,,,,30/10/2018
Battle Princess Madelyn,NS,Action-Adventure,Casual Bit Games,,,,,,19/12/2018
Infliction,PC,Adventure,Caustic Reality,,,,,,18/10/2018
Gwent: The Witcher Card Game,PS4,Misc,CD Projekt Red Studio,,,,,,4/12/2018
Gwent: The Witcher Card Game,XOne,Misc,CD Projekt Red Studio,,,,,,4/12/2018
Gwent: The Witcher Card Game,PC,Misc,CD Projekt Red Studio,,,,,,23/10/2018
Space Dave,NS,Action,Choice Provisions,,,,,,25/1/2018
The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,NS,Adventure,Chorus Worldwide Games,,,,,,29/3/2018
Pocket Rumble,NS,Fighting,Chucklefish,,,,,,30/12/2018
Stardew Valley,iOS,Simulation,Chucklefish,,,,,,24/10/2018
Stardew Valley,PSV,Simulation,Chucklefish,,,,,,22/5/2018
World Conqueror X,NS,Strategy,CIRCLE Entertainment,,,,,,8/3/2018
ClusterPuck 99,NS,Sports,Coatsink Software,,,,,,29/3/2018
Shu,NS,Platform,Coatsink Software,,,,,,23/1/2018
Detention,NS,Adventure,Coconut Island Games,,,,,,1/3/2018
F1 2018,PS4,Racing,Codemasters,0.05,0.39,0.01,0.08,0.53,24/8/2018
F1 2018,XOne,Racing,Codemasters,0.05,0.1,,0.01,0.17,24/8/2018
Huntdown,NS,Action,Coffee Stain Studios,,,,,,1/1/2018
The Scroll of Taiwu,PC,Role-Playing,ConchShip Games,,,,,,21/9/2018
AeternoBlade,NS,Adventure,"Corecell Technology Co.,Ltd.",,,,,,1/2/2018
Wanderjahr: Try Again or Walk Away,NS,Role-Playing,"Corecell Technology Co.,Ltd.",,,,,,15/2/2018
Wrecked,PC,Action,Corvostudio di Amadei Marco,,,,,,1/4/2018
Defoliation,NS,Puzzle,Cosen,,,,,,31/5/2018
Xenon Valkyrie+,XOne,Platform,COWCAT,,,,,,21/2/2018
Xenon Valkyrie+,PS4,Platform,COWCAT,,,,,,20/2/2018
Heroes of Hammerwatch,PC,Action-Adventure,Crackshell,,,,,,1/3/2018
"Guns, Gore & Cannoli 2",PC,Action,Crazy Monkey,,,,,,2/3/2018
Immortal Redneck,NS,Shooter,CremaGames,,,,,,10/5/2018
Immortal Redneck,XOne,Shooter,CremaGames,,,,,,27/2/2018
Immortal Redneck,PS4,Shooter,CremaGames,,,,,,27/2/2018
Project Warlock,PC,Shooter,Crunching Koalas,,,,,,18/10/2018
Bomber Crew,XOne,Simulation,Curve Digital,,,,,,10/7/2018
The Swindle,NS,Platform,Curve Digital,,,,,,11/10/2018
Earth Defense Force 5,All,Shooter,D3 Publisher,,,,,,11/12/2018
Earth Defense Force 5,PS4,Shooter,D3 Publisher,,,,,,11/12/2018
Escape Trick: 35 Fateful Enigmas,NS,Adventure,D3 Publisher,,,,,,15/2/2018
The Men of Yoshiwara: Ohgiya,NS,Adventure,D3 Publisher,,,,,,8/3/2018
Enchanting Mahjong Match,NS,Puzzle,D3Publisher,,,,,,15/3/2018
Pool BILLIARD,NS,Sports,D3Publisher,,,,,,15/2/2018
Tennis,NS,Sports,D3Publisher,,,,,,25/1/2018
The Charming Empire,NS,Adventure,D3Publisher,,,,,,29/3/2018
The Men of Yoshiwara: Kikuya,NS,Adventure,D3Publisher,,,,,,1/2/2018
Super Daryl Deluxe,NS,Action,Dan & Gary Games,,,,,,10/4/2018
Super Sportmatchen,NS,Sports,DANGEN Entertainment,,,,,,24/5/2018
Wulverblade,XOne,Action,Darkwind Media,,,,,,31/1/2018
Wulverblade,PC,Action,Darkwind Media,,,,,,30/1/2018
The Infectious Madness of Doctor Dekker,PC,Adventure,D'Avekki Studios Limited,,,,,,19/5/2018
H1Z1,PC,Shooter,Daybreak Games,,,,,,28/2/2018
H1Z1: Battle Royale,PS4,Shooter,Daybreak Games,,,,,,22/5/2018
Flat Heroes,NS,Platform,Deck 13,,,,,,2/8/2018
CrossCode,PC,Role-Playing,DECK13 Interactive GmbH,,,,,,20/9/2018
Dakar 18,PC,Racing,Deep Silver,,,,,,25/9/2018
Dead Island 2,PC,Action,Deep Silver,,,,,,1/12/2018
Dead Island 2,XOne,Action,Deep Silver,,,,,,1/1/2018
Kingdom Come: Deliverance,All,Role-Playing,Deep Silver,,,,,,13/2/2018
Kingdom Come: Deliverance,PS4,Role-Playing,Deep Silver,0.18,0.28,,0.09,0.56,13/2/2018
Kingdom Come: Deliverance,XOne,Role-Playing,Deep Silver,0.14,0.06,,0.02,0.22,13/2/2018
Broforce,NS,Action,Devolver Digital,,,,,,6/9/2018
Crossing Souls,PS4,Action-Adventure,Devolver Digital,,,,,,13/2/2018
GRIS,All,Adventure,Devolver Digital,,,,,,13/12/2018
GRIS,NS,Adventure,Devolver Digital,,,,,,13/12/2018
GRIS,PC,Platform,Devolver Digital,,,,,,13/12/2018
Minit,PS4,Adventure,Devolver Digital,,,,,,3/4/2018
Reigns: Kings & Queens,NS,Role-Playing,Devolver Digital,,,,,,1/5/2018
The Messenger,NS,Platform,Devolver Digital,,,,,,30/8/2018
The Messenger,PC,Platform,Devolver Digital,,,,,,30/8/2018
The Swords of Ditto: Mormo's Curse,PC,Role-Playing,Devolver Digital,,,,,,24/4/2018
The Talos Principle,XOne,Puzzle,Devolver Digital,,,,,,31/8/2018
Bleed 2,NS,Action,Digerati,,,,,,8/3/2018
Bleed 2,PS4,Action,Digerati,,,,,,6/2/2018
Nefarious,NS,Platform,Digerati,,,,,,13/9/2018
Omega Strike,PS4,Shooter,Digerati,,,,,,12/6/2018
Paranautical Activity,NS,Shooter,Digerati,,,,,,28/6/2018
Slayaway Camp: Butcher's Cut,NS,Puzzle,Digerati,,,,,,22/3/2018
The Aquatic Adventure of the Last Human,PS4,Action-Adventure,Digerati,,,,,,23/1/2018
The Aquatic Adventure of the Last Human,XOne,Action-Adventure,Digerati,,,,,,19/1/2018
TurtlePop : Journey to Freedom,NS,Platform,DigiPen Game Studios,,,,,,9/3/2018
Pixel Puzzles 2: Christmas,PC,Puzzle,DL Softworks,,,,,,27/11/2018
Metal!,NS,Misc,DMM Games,,,,,,8/2/2018
A Hole New World,NS,Adventure,Dolores Entertainment SL,,,,,,1/3/2018
Bit Dungeon Plus,NS,Role-Playing,Dolores Entertainment SL,,,,,,8/3/2018
The Awesome Adventures of Captain Spirit,PC,Adventure,DONTNOD Entertainment,,,,,,26/6/2018
The Awesome Adventures of Captain Spirit,PS4,Adventure,DONTNOD Entertainment,,,,,,26/6/2018
The Awesome Adventures of Captain Spirit,XOne,Adventure,DONTNOD Entertainment,,,,,,26/6/2018
Danmaku Unlimited 3,NS,Action,Doragon Entertainment,,,,,,13/3/2018
Grim Fandango Remastered,NS,Puzzle,Double Fine Productions,,,,,,1/11/2018
Fishing Sim World,PC,Simulation,Dovetail Games,,,,,,18/9/2018
Owlboy,XOne,Platform,D-Pad Studio,,,,,,13/2/2018
Black Hole,NS,Action,Dufgames,,,,,,6/2/2018
Fe,NS,Adventure,EA Originals,,,,,,16/2/2018
EA Sports UFC 3,PS4,Sports,EA Sports,0.4,0.41,0.01,0.16,0.97,2/2/2018
EA Sports UFC 3,XOne,Sports,EA Sports,0.3,0.1,,0.04,0.44,2/2/2018
FIFA 19,All,Sports,EA Sports,,,,,,28/9/2018
Madden NFL 19,PS4,Sports,EA Sports,1.63,0.18,,0.41,2.21,10/8/2018
Madden NFL 19,XOne,Sports,EA Sports,1.33,0.02,,0.16,1.51,10/8/2018
NHL 19,PS4,Sports,EA Sports,0.26,0.09,,0.08,0.43,14/9/2018
NHL 19,XOne,Sports,EA Sports,0.26,,,0.03,0.29,14/9/2018
Super Toy Cars,NS,Racing,Eclipse Games,,,,,,2/3/2018
Tachyon Project,NS,Action,Eclipse Games,,,,,,25/1/2018
Xuan Yuan Sword: The Gate of Firmament,XOne,Role-Playing,E-Home Entertainment,,,,,,24/1/2018
A Way Out,PS4,Action,Electronic Arts,0.23,0.16,,0.08,0.48,23/3/2018
A Way Out,XOne,Action,Electronic Arts,0.17,0.05,,0.02,0.24,23/3/2018
A Way Out,PC,Action,Electronic Arts,,,,,,23/3/2018
A Way Out,Series,Action-Adventure,Electronic Arts,,,,,,23/3/2018
A Way Out,All,Action-Adventure,Electronic Arts,,,,,,23/3/2018
Battlefield V,All,Shooter,Electronic Arts,,,,,,20/11/2018
Battlefield V,PS4,Shooter,Electronic Arts,0.8,0.93,0.16,0.34,2.22,20/11/2018
Battlefield V,XOne,Shooter,Electronic Arts,1.05,0.35,,0.15,1.55,20/11/2018
Battlefield V,PC,Shooter,Electronic Arts,,0.09,,0.01,0.1,20/11/2018
Burnout Paradise Remastered,PS4,Racing,Electronic Arts,0.08,0.22,0.01,0.06,0.37,16/3/2018
Burnout Paradise Remastered,XOne,Racing,Electronic Arts,0.06,0.04,,0.01,0.11,16/3/2018
Fe,XOne,Action,Electronic Arts,,,,,,16/2/2018
Fe,PS4,Action,Electronic Arts,,,,,,16/2/2018
Fe,PC,Action,Electronic Arts,,,,,,16/2/2018
FIFA 19,PS4,Sports,Electronic Arts,0.84,6.87,0.1,1.34,9.15,28/9/2018
We Happy Few,XOne,Action-Adventure,Gearbox Software,0.07,0.01,,0.01,0.09,10/8/2018
ARK: Survival Evolved,NS,Action-Adventure,Studio Wildcard,0.07,,,0.01,0.08,30/11/2018
Shenmue I & II,XOne,Action-Adventure,Sega,0.05,0.01,,0.01,0.07,21/8/2018
Asterix and Obelix XXL2,NS,Action-Adventure,Microids,,0.06,,0,0.06,29/11/2018
Conan Exiles,XOne,Action-Adventure,Maximum Games,0.05,0.01,,0.01,0.06,8/5/2018
Assassin's Creed Odyssey,PC,Action-Adventure,Ubisoft,,0.06,,0,0.06,5/10/2018
Yakuza 3,PS4,Action-Adventure,Sega,,,0.05,,0.05,9/8/2018
Hellblade: Senua's Sacrifice,PS4,Action-Adventure,505 Games,0.03,0.01,,0.01,0.05,4/12/2018
Yomawari: The Long Night Collection,NS,Action-Adventure,NIS America,0.04,,0.01,0,0.05,30/10/2018
Hotel Transylvania 3: Monsters Overboard,XOne,Action-Adventure,Outright Games,0.04,,,0,0.04,10/7/2018
Earthfall,PS4,Action-Adventure,Gearbox Software,0.03,,,0.01,0.04,13/7/2018
Asterix and Obelix XXL2,PS4,Action-Adventure,Microids,,0.03,,0.01,0.04,29/11/2018
Hotel Transylvania 3: Monsters Overboard,PS4,Action-Adventure,Outright Games,0.03,,,0.01,0.04,10/7/2018
Assassin's Creed Rogue Remastered,XOne,Action-Adventure,Ubisoft,,0.03,,0,0.04,20/3/2018
Monster Boy and the Cursed Kingdom,NS,Action-Adventure,FDG Entertainment,0.03,,,0,0.04,6/11/2018
The Persistence,PS4,Action-Adventure,Sony Interactive Entertainment,,0.03,,0.01,0.04,24/7/2018
Earthfall,XOne,Action-Adventure,Gearbox Software,0.03,,,0,0.03,13/7/2018
Override: Mech City Brawl,PS4,Action-Adventure,Modus Games,0.02,,,0.01,0.03,4/12/2018
Beast Quest,PS4,Action-Adventure,Maximum Games,0.02,,,0.01,0.03,13/3/2018
Record of Grancrest War,PS4,Action-Adventure,Bandai Namco Games,,,0.03,,0.03,14/6/2018
Beast Quest,XOne,Action-Adventure,Maximum Games,0.02,,,0,0.03,13/3/2018
Agony,PS4,Action-Adventure,Maximum Games,0.02,,,0,0.03,29/5/2018
Agony,XOne,Action-Adventure,Maximum Games,0.02,,,0,0.02,29/5/2018
Override: Mech City Brawl,XOne,Action-Adventure,Modus Games,0.02,,,0,0.02,4/12/2018
Border Break,PS4,Action-Adventure,Sega,,,0.02,,0.02,2/8/2018
Max: The Curse of Brotherhood,NS,Action-Adventure,Wired Productions,0.01,,,0,0.01,24/4/2018
Far Cry 3: Classic Edition,PS4,Action-Adventure,Ubisoft,,,0.01,,0.01,5/7/2018
Hotel Transylvania 3: Monsters Overboard,NS,Action-Adventure,Outright Games,0.01,,,0,0.01,10/7/2018
Legend of Kay Anniversary,NS,Action-Adventure,THQ Nordic,,0.01,,0,0.01,29/5/2018
FIFA 19,XOne,Sports,Electronic Arts,0.56,1.5,,0.16,2.22,28/9/2018
FIFA 19,NS,Sports,Electronic Arts,0.18,0.47,0.06,0.05,0.75,28/9/2018
FIFA 19,PC,Sports,Electronic Arts,,,,,,28/9/2018
NBA Live 19,PS4,Sports,Electronic Arts,0.15,,,0.04,0.19,7/9/2018
NBA Live 19,XOne,Sports,Electronic Arts,0.13,,,0.02,0.15,7/9/2018
Unravel Two,XOne,Platform,Electronic Arts,,,,,,9/6/2018
Unravel Two,PC,Platform,Electronic Arts,,,,,,9/6/2018
Unravel Two,PS4,Platform,Electronic Arts,,,,,,9/6/2018
Unravel Yarny Bundle,XOne,Platform,Electronic Arts,,,,,,24/7/2018
Unravel Yarny Bundle,PS4,Platform,Electronic Arts,,,,,,24/7/2018
The Forest,Series,Simulation,Endnight Games Ltd,,,,,,30/4/2018
Lumines Remastered,NS,Puzzle,Enhance,,,,,,1/5/2018
Grand Prix Rock 'N Racing,NS,Racing,EnjoyUp Games,,,,,,4/1/2018
Boku to Nurse no Kenshuu Nisshi,PC,Visual+Novel,Entergram,,,,,,23/8/2018
Boku to Nurse no Kenshuu Nisshi,PSV,Visual+Novel,Entergram,,,,,,23/8/2018
D.S.: Dal Segno,PS4,Visual+Novel,Entergram,,,,,,22/3/2018
Floral Flowlove,PS4,Visual+Novel,Entergram,,,,,,23/8/2018
Floral Flowlove,PC,Visual+Novel,Entergram,,,,,,23/8/2018
FOX n FORESTS,PC,Platform,EuroVideo Medien,,,,,,17/5/2018
Pilot Sports,NS,Sports,EuroVideo Medien,,,,,,27/9/2018
Energy Invasion,NS,Puzzle,Evgeniy Kolpakov,,,,,,11/1/2018
Rust,All,Action-Adventure,Facepunch Studios,,,,,,8/2/2018
Rust,PC,Action-Adventure,Facepunch Studios,,,,,,8/2/2018
Rust,OSX,Action-Adventure,Facepunch Studios,,,,,,8/2/2018
Rust,Linux,Action-Adventure,Facepunch Studios,,,,,,8/2/2018
Get Even,PS4,Misc,Farm 51,,,,,,1/1/2018
Apex Construct,PC,Action,Fast Travel Games,,,,,,20/3/2018
Warhammer: Vermintide 2,All,Action,Fatshark,,,,,,8/3/2018
Monster Boy and the Cursed Kingdom,All,Platform,FDG Entertainment,,,,,,4/12/2018
Monster Boy and the Cursed Kingdom,XOne,Platform,FDG Entertainment,,,,,,6/11/2018
Jurassic World:  Blue,OR,Adventure,Felix & Paul Studios,,,,,,1/5/2018
Vesta,NS,Puzzle,FinalBoss Games,,,,,,19/1/2018
Vesta,PC,Puzzle,FinalBoss Games,,,,,,19/1/2018
Vesta,XOne,Puzzle,FinalBoss Games,,,,,,19/1/2018
Vesta,PS4,Puzzle,FinalBoss Games,,,,,,19/1/2018
Night In The Woods,NS,Adventure,Finji,,,,,,1/2/2018
Orn: The Tiny Forest Sprite,PC,Platform,FIVE12 GAMES,,,,,,20/12/2018
Lost Lands: Ice Spell,PC,Adventure,FIVE-BN GAMES,,,,,,16/7/2018
Lost Lands: Mistakes of the Past,PC,Adventure,FIVE-BN GAMES,,,,,,13/12/2018
Ambition of the Slimes,NS,Strategy,Flyhigh Works,,,,,,18/1/2018
Billion Road,NS,Board+Game,Bandai Namco Games,,,0.01,,0.01,29/11/2018
OPUS: Rocket of Whispers,NS,Adventure,Flyhigh Works,,,,,,22/3/2018
SubaraCity,NS,Puzzle,Flyhigh Works,,,,,,31/8/2018
Call of Cthulhu,PS4,Role-Playing,Focus Home Interactive,0.07,0.03,,0.02,0.12,30/10/2018
Farming Simulator 19,PC,Simulation,Focus Home Interactive,,0.55,,0.03,0.58,20/11/2018
Farming Simulator 19,PS4,Simulation,Focus Home Interactive,0.13,0.26,,0.07,0.47,20/11/2018
Farming Simulator 19,XOne,Simulation,Focus Home Interactive,0.19,0.09,,0.03,0.32,20/11/2018
Farming Simulator 19,All,Simulation,Focus Home Interactive,,,,,,19/11/2018
Insurgency: Sandstorm,PC,Shooter,Focus Home Interactive,,,,,,12/12/2018
Space Hulk: Deathwing,XOne,Shooter,Focus Home Interactive,,,,,,31/12/2018
The Council,PC,Adventure,Focus Home Interactive,,,,,,13/3/2018
Tour de France 2018,XOne,Simulation,Focus Home Interactive,,,,,,28/6/2018
Vampyr,All,Role-Playing,Focus Home Interactive,,,,,,5/6/2018
Vampyr,PS4,Role-Playing,Focus Home Interactive,0.12,0.19,,0.06,0.37,5/6/2018
Vampyr,PC,Role-Playing,Focus Home Interactive,,,,,,5/6/2018
Vampyr,XOne,Role-Playing,Focus Home Interactive,0.07,0.04,,0.01,0.12,5/6/2018
Frederic 2: Evil Strikes Back,NS,Misc,Forever Entertainment S.A.,,,,,,1/2/2018
Hollow,NS,Adventure,Forever Entertainment S.A.,,,,,,22/2/2018
Millie,NS,Puzzle,Forever Entertainment S.A.,,,,,,15/2/2018
NO THING,NS,Action,Forever Entertainment S.A.,,,,,,22/3/2018
Qbik,NS,Puzzle,Forever Entertainment S.A.,,,,,,18/1/2018
Sparkle 3 Genesis,NS,Simulation,Forever Entertainment S.A.,,,,,,15/3/2018
Zombillie,NS,Puzzle,Forever Entertainment S.A.,,,,,,29/3/2018
Joe Dever's Lone Wolf,NS,Role-Playing,Forge Reply,,,,,,16/2/2018
Guilt Battle Arena,NS,Party,ForwardXP,,,,,,1/3/2018
Jurassic World Evolution,PC,Simulation,Frontier Developments,,,,,,3/7/2018
Jurassic World Evolution,PS4,Simulation,Frontier Developments,0.14,0.25,,0.08,0.47,3/7/2018
Jurassic World Evolution,XOne,Simulation,Frontier Developments,0.15,0.09,,0.02,0.26,3/7/2018
Jurassic World Evolution,All,Simulation,Frontier Developments,,,,,,12/6/2018
Trine Enchanted Edition,NS,Action,Frozenbyte,,,,,,9/11/2018
Johnny Turbo's Arcade: Bad Dudes,NS,Action,FTE Games,,,,,,29/3/2018
Johnny Turbo's Arcade: Gate of Doom,NS,Action,FTE Games,,,,,,15/2/2018
Mutant Year Zero: Road to Eden,PC,Strategy,Funcom,,,,,,4/12/2018
BlazBlue: Cross Tag Battle,PS4,Fighting,Arc System Works,0.04,,0.03,0.01,0.08,5/6/2018
Street Fighter 30th Anniversary Collection,XOne,Fighting,Capcom,0.05,0.01,,0.01,0.07,29/5/2018
BlazBlue: Cross Tag Battle,NS,Fighting,Arc System Works,0.04,0.01,0.01,0.01,0.07,5/6/2018
Mutant Year Zero: Road to Eden,PS4,Strategy,Funcom,,,,,,4/12/2018
SNK Heroines Tag Team Frenzy,NS,Fighting,NIS America,0.02,0.01,0.01,0,0.05,7/9/2018
Under Night In-Birth Exe:Latest,PS4,Fighting,Aksys Games,0.01,,0.03,0,0.04,9/2/2018
Blade Strangers,NS,Fighting,Nicalis,0.03,,,0,0.04,28/8/2018
Omen of Sorrow,PS4,Fighting,Soedesco,0.03,,,0.01,0.04,16/11/2018
Kamen Rider: Climax Scramble Zi-O,NS,Fighting,Bandai Namco Games,,,0.03,,0.03,29/11/2018
Blade Strangers,PS4,Fighting,Nicalis,0.02,,,0,0.02,28/8/2018
Full Metal Panic! Fight: Who Dares Wins,PS4,Fighting,Bandai Namco Entertainment,,,0.02,,0.02,31/5/2018
SNK Heroines Tag Team Frenzy,PS4,Fighting,NIS America,,,0.02,,0.02,7/9/2018
Capcom Beat 'Em Up Bundle,PS4,Fighting,Capcom,,,0.01,,0.01,18/9/2018
Capcom Beat 'Em Up Bundle,NS,Fighting,Capcom,,,0.01,,0.01,18/9/2018
Million Arthur: Arcana Blood,PS4,Fighting,Square Enix,,,0.01,,0.01,29/11/2018
Street Fighter 30th Anniversary Collection,PC,Fighting,Capcom,,0,,0,0,29/5/2018
Mutant Year Zero: Road to Eden,XOne,Strategy,Funcom,,,,,,4/12/2018
Mutant Year Zero: Road to Eden Deluxe Edition,NS,Role-Playing,Funcom,,,,,,4/12/2018
Freedom Planet,NS,Platform,Galaxy Trail,,,,,,30/8/2018
ATOMIK: RunGunJumpGun,NS,Action,Gambitious,,,,,,8/2/2018
Oh...Sir! The Hollywood Roast,NS,Simulation,Gambitious,,,,,,18/1/2018
Oh...Sir! The Insult Simulator,NS,Simulation,Gambitious,,,,,,18/1/2018
Goosebumps: The Game,NS,Adventure,GameMill Entertainment,0.09,0.02,,0.01,0.13,9/10/2018
Nickelodeon Kart Racers,NS,Racing,GameMill Entertainment,0.08,0.04,,0.01,0.13,23/10/2018
Earthfall,PC,Action-Adventure,Gearbox Software,,,,,,13/7/2018
Hello Neighbor,PS4,Action,Gearbox Software,0.13,0.16,,0.06,0.35,27/7/2018
Hello Neighbor,NS,Action,Gearbox Software,0.12,0.1,,0.02,0.24,27/7/2018
Subnautica,PS4,Adventure,Gearbox Software,0.07,0.03,,0.02,0.12,4/12/2018
We Happy Few,PC,Action,Gearbox Software,,,,,,10/8/2018
We Happy Few,PS4,Action-Adventure,Gearbox Software,0.08,0.04,,0.02,0.14,10/8/2018
Sling Ming,NS,Platform,Good Night Brave Warrior,,,,,,5/4/2018
ACA NEOGEO 2020 SUPER BASEBALL,XOne,Sports,Hamster Corporation,,,,,,27/4/2018
ACA NEOGEO 2020 SUPER BASEBALL,NS,Sports,Hamster Corporation,,,,,,8/2/2018
ACA NEOGEO AERO FIGHTERS 3,NS,Action,Hamster Corporation,,,,,,15/3/2018
ACA NEOGEO AERO FIGHTERS 3,XOne,Shooter,Hamster Corporation,,,,,,15/3/2018
ACA NEOGEO ART OF FIGHTING 2,NS,Fighting,Hamster Corporation,,,,,,11/1/2018
ACA NEOGEO ART OF FIGHTING 3,XOne,Fighting,Hamster Corporation,,,,,,26/7/2018
ACA NEOGEO BASEBALL STARS PROFESSIONAL,XOne,Sports,Hamster Corporation,,,,,,17/5/2018
ACA NEOGEO BASEBALL STARS PROFESSIONAL,NS,Sports,Hamster Corporation,,,,,,17/5/2018
ACA NEOGEO BLAZING STAR,XOne,Shooter,Hamster Corporation,,,,,,8/2/2018
ACA NEOGEO FATAL FURY 3,NS,Fighting,Hamster Corporation,,,,,,15/2/2018
ACA NEOGEO GHOST PILOTS,PS4,Action,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO GHOST PILOTS,NS,Action,Hamster Corporation,,,,,,26/4/2018
ACA NEOGEO GHOST PILOTS,XOne,Action,Hamster Corporation,,,,,,26/4/2018
ACA NEOGEO Gururin,PS4,Puzzle,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO Gururin,XOne,Puzzle,Hamster Corporation,,,,,,12/4/2018
ACA NEOGEO Gururin,NS,Puzzle,Hamster Corporation,,,,,,12/4/2018
ACA NEOGEO KING OF THE MONSTERS,NS,Action,Hamster Corporation,,,,,,4/1/2018
ACA NEOGEO LEAGUE BOWLING,XOne,Sports,Hamster Corporation,,,,,,19/7/2018
ACA NEOGEO LEAGUE BOWLING,NS,Sports,Hamster Corporation,,,,,,19/7/2018
ACA NEOGEO MAGICAL DROP III,PS4,Puzzle,Hamster Corporation,,,,,,6/6/2018
ACA NEOGEO MAGICAL DROP III,NS,Puzzle,Hamster Corporation,,,,,,22/2/2018
ACA NEOGEO MAGICAL DROP III,XOne,Puzzle,Hamster Corporation,,,,,,22/2/2018
ACA NEOGEO METAL SLUG 3,PS4,Action,Hamster Corporation,,,,,,26/2/2018
ACA NEOGEO Money Puzzle Exchanger,XOne,Puzzle,Hamster Corporation,,,,,,28/6/2018
ACA NEOGEO Money Puzzle Exchanger,NS,Puzzle,Hamster Corporation,,,,,,28/6/2018
ACA NEOGEO NINJA COMBAT,PS4,Action,Hamster Corporation,,,,,,8/6/2018
ACA NEOGEO NINJA COMBAT,NS,Action,Hamster Corporation,,,,,,31/5/2018
ACA NEOGEO NINJA COMBAT,XOne,Action,Hamster Corporation,,,,,,31/5/2018
ACA NEOGEO POWER SPIKES II,PS4,Sports,Hamster Corporation,,,,,,19/4/2018
ACA NEOGEO POWER SPIKES II,NS,Sports,Hamster Corporation,,,,,,18/1/2018
ACA NEOGEO POWER SPIKES II,XOne,Sports,Hamster Corporation,,,,,,18/1/2018
ACA NEOGEO PREHISTORIC ISLE 2,NS,Action,Hamster Corporation,,,,,,2/8/2018
Atari Flashback Classics: Volume 3,PS4,Misc,Funbox Media,0.05,,,0.01,0.06,28/9/2018
Atari Flashback Classics: Volume 3,XOne,Misc,Funbox Media,0.04,,,0.01,0.05,28/9/2018
Atari Flashback Classics: Volume 1,NS,Misc,Atari,0.04,,,0,0.04,13/12/2018
Death Mark,PS4,Misc,Aksys Games,0.02,,0.01,0,0.03,31/10/2018
Sumikko Gurashi Atsumare Sumikko Town,NS,Misc,Nippon Columbia,,,0.03,,0.03,4/10/2018
Penny-Punching Princess,NS,Misc,NIS America,0.03,,,0,0.03,3/4/2018
SNK 40th Anniversary Collection,NS,Misc,NIS America,0.02,,,0,0.03,13/11/2018
Hello Kitty Kruisers,NS,Misc,Rising Star Games,0.02,,,0,0.02,15/5/2018
Senran Kagura: Peach and Reflexions Limited Double Pack,NS,Misc,Marvelous,,,0.02,,0.02,13/12/2018
Wordhunters,PS4,Misc,Wired Productions,0.01,,,0,0.01,4/12/2018
Peach Ball: Senran Kagura,NS,Misc,Marvelous Entertainment,,,0.01,,0.01,13/12/2018
Cube Creator X,NS,Misc,Arc System Works,,,0.01,,0.01,26/4/2018
Kunio-kun: The World Classics Collection,NS,Misc,Arc System Works,,,0.01,,0.01,20/12/2018
Closed Nightmare,PS4,Misc,Nippon Ichi Software,,,0.01,,0.01,19/7/2018
Kunio-kun: The World Classics Collection,PS4,Misc,Arc System Works,,,0.01,,0.01,20/12/2018
Happy Birthdays,NS,Misc,NIS America,0.01,,,0,0.01,5/6/2018
Closed Nightmare,NS,Misc,Nippon Ichi Software,,,0,,0,19/7/2018
WorldNeverland: Elnea Kingdom,NS,Misc,althi Inc.,,,0,,0,15/3/2018
ACA NEOGEO PREHISTORIC ISLE 2,XOne,Action,Hamster Corporation,,,,,,2/8/2018
ACA NEOGEO REAL BOUT FATAL FURY,NS,Fighting,Hamster Corporation,,,,,,18/3/2018
ACA NEOGEO REAL BOUT FATAL FURY 2,XOne,Fighting,Hamster Corporation,,,,,,8/3/2018
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,NS,Fighting,Hamster Corporation,,,,,,19/4/2018
ACA NEOGEO REAL BOUT FATAL FURY SPECIAL,PS4,Fighting,Hamster Corporation,,,,,,8/1/2018
ACA NEOGEO RIDING HERO,XOne,Racing,Hamster Corporation,,,,,,7/6/2018
ACA NEOGEO RIDING HERO,NS,Racing,Hamster Corporation,,,,,,7/6/2018
ACA NEOGEO SAMURAI SHODOWN II,NS,Fighting,Hamster Corporation,,,,,,1/2/2018
